spinal,20
conservative,23
care,25
progamme,1
who,5
we,7
are,8
bankmed,12
medical,10
scheme,3
registration,2
number,2
is,11
a,33
non,2
profit,1
organisation,1
registered,1
with,10
the,68
council,3
for,30
schemes.,1
discovery,1
health,8
pty,1
ltd,1
referred,2
to,39
as,7
“the,1
administrator”,1
separate,1
company,1
and,25
an,3
authorised,1
financial,1
services,5
provider,3
which,3
takes,1
of,30
administration,1
your,36
membership,1
scheme.,1
overview,1
back,6
pain,4
one,2
most,1
common,1
conditions,1
experienced,1
by,7
members.,1
appropriate,2
outofhospital,2
management,4
has,1
proven,1
deliver,1
good,1
outcomes,1
could,1
prevent,1
need,3
surgery.,1
this,5
programme,23
will,11
help,1
you,30
manage,2
condition,4
support,1
network,16
healthcare,23
professionals,4
that,3
specialise,1
in,19
treatment,2
rehabilitation,1
neck,2
pain.,3
document,3
gives,3
more,1
information,2
about,2
available,2
on,17
all,1
plans,1
.,6
some,2
terms,2
use,2
there,1
may,9
be,7
refer,2
not,5
familiar,1
with.,1
here,1
meanings,1
these,4
terms.,1
terminology,1
description,1
cover,6
refers,1
benefits,5
have,7
access,7
how,2
pay,3
such,1
consultations,2
medication,1
hospitals,2
plan.,2
rate,2
from,1
pharmacies,1
other,2
providers,2
relevant,2
services.,1
find,7
professional,13
search,4
tool,1
app,3
website,4
www.bankmed.co.za,3
healthid,5
online,2
digital,1
platform,1
fast,1
uptodate,1
information.,2
once,6
given,1
consent,2
can,5
history,1
make,1
referrals,1
check,1
test,1
results.,1
subject,2
clinical,4
entry,3
criteria,3
qualify,2
possible,3
candidate,1
or,17
after,1
recent,1
hospital,2
stay,1
request,1
related,3
admission.,1
also,2
option,2
being,1
surgeon,2
gp,1
assess,3
suitability,1
programme.,5
where,4
met,1
visiting,1
our,1
assessment,2
enrolment,4
coordinated,1
offers,1
•,9
physiotherapists,2
chiropractors,2
trained,1
supported,1
surgeons,1
applicable,1
focused,1
developed,1
experts,1
surgical,1
flexible,1
providing,1
combination,1
person,1
virtual,1
deemed,1
necessary,1
therapists,1
overseen,1
identified,1
eligible,2
consult,2
chiropractor,5
physiotherapist,6
assessed,1
onto,3
chosen,5
view,1
records,1
must,1
grant,1
them,1
electronic,1
record,1
under,3
doctor,4
visits,3
>,5
provide,1
consent.,2
through,3
treating,2
agree,1
key,1
goals,1
track,1
progress.,1
work,1
enrolled,4
defined,3
basket,3
over,1
period,1
up,1
weeks,1
sessions,3
conducted,1
face,1
toface,1
connected,1
platform.,1
choose,1
either,1
treatment.,1
decide,1
what,1
best,1
condition.,1
consultation,1
fee,1
full,1
affect,1
day,1
today,1
applicable.,1
any,2
additional,3
outside,2
approved,2
part,2
covered,3
accordance,2
log,2
professional.,2
type,2
name,2
category,2
would,2
like,2
closest,1
e.g.,2
address,2
select,4
icon.,1
filter,1
results,1
programmes,2
filters,2
tick,1
box,1
care.,1
navigate,2
see,1
chiropractor.,1
then,1
page,1
‘apply’.,1
needs,1
they,1
capture,1
specific,1
during,1
course,1
if,4
plan,2
change,1
stop,1
do,3
further,2
fees,1
clinically,1
surgeon.,1
surgery,2
end,1
members,3
only,1
per,1
year,1
even,1
recurs,1
new,1
area,1
concern,1
arises,1
had,1
past,1
months,1
excludes,1
emergencies,1
oncology,1
congenital,1
trauma,1
injuries.,1
according,1
contact,2
us,2
visit,1
complaints,2
process,1
lodge,2
complaint,3
query,1
directly,2
writing,2
principal,1
officer.,1
should,1
remain,1
unresolved,1
formal,1
dispute,1
following,1
scheme’s,1
internal,1
disputes,1
process.,1
wish,1
approach,1
schemes,2
assistance,1
so,1
unit,1
block,1
eco,2
glades,1
office,1
park,2
witch,1
hazel,1
avenue,1
centurion,1
via,1
e,1
mail,1
at,1
complaints@medicalschemes.co.za.,1
customer,1
centre,1
www.medicalschemes.co.za,1
